,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,0.0,0,0.0002892219999921508,"[0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1]",100,1024,0
1,1,1.0,2,0.009619472000849782,"[0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0]",100,1024,0
2,2,1.0,3,0.018983899999511777,"[0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0]",100,1024,0
3,4,1.0,5,0.027670585999658215,"[0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0]",100,1024,0
4,8,4.0,10,0.03665264300070703,"[1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0]",100,1024,0
5,16,19.0,19,0.04741051200107904,"[1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0]",100,1024,0
6,32,21.0,36,0.05816182899980049,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0]",100,1024,0
7,64,22.0,69,0.07513551600095525,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0]",100,1024,0
8,128,27.0,135,0.10630591900007857,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",100,1024,0
9,256,27.0,237,0.16915820299982443,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",100,1024,0
10,512,27.0,237,0.16915820299982443,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",100,1024,0
11,1024,27.0,237,0.16915820299982443,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",100,1024,0
12,0,4.0,237,0.18330884699935268,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1]",100,1024,1
13,1,4.0,238,0.19566185499934363,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1]",100,1024,1
14,2,4.0,239,0.20780538600047294,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1]",100,1024,1
15,4,4.0,241,0.21919522000098368,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1]",100,1024,1
16,8,19.0,246,0.23335550999945553,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0]",100,1024,1
17,16,19.0,254,0.248971041999539,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0]",100,1024,1
18,32,19.0,270,0.26894811100100924,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0]",100,1024,1
19,64,24.0,304,0.2982606469995517,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0]",100,1024,1
20,128,27.0,369,0.35567339599947445,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",100,1024,1
21,256,27.0,469,0.452000732999295,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",100,1024,1
22,512,27.0,469,0.452000732999295,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",100,1024,1
23,1024,27.0,469,0.452000732999295,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",100,1024,1
24,0,0.0,469,0.4661433820001548,"[0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1]",100,1024,2
25,1,1.0,471,0.4787492840005143,"[1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1]",100,1024,2
26,2,1.0,472,0.49304387899974245,"[1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1]",100,1024,2
27,4,1.0,474,0.5084827240007144,"[1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1]",100,1024,2
28,8,1.0,478,0.5266655899995385,"[1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1]",100,1024,2
29,16,3.0,487,0.5460652010006015,"[1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1]",100,1024,2
30,32,7.0,504,0.5744712529995013,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1]",100,1024,2
31,64,22.0,537,0.6150555929998518,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0]",100,1024,2
32,128,27.0,603,0.6901430760008225,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",100,1024,2
33,256,27.0,729,0.840899721999449,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",100,1024,2
34,512,27.0,729,0.840899721999449,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",100,1024,2
35,1024,27.0,729,0.840899721999449,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",100,1024,2
36,0,0.0,729,0.8605474190007953,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",100,1024,3
37,1,0.0,730,0.8783416930000385,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",100,1024,3
38,2,0.0,731,0.8950757290003821,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",100,1024,3
39,4,0.0,733,0.9121669249998376,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",100,1024,3
40,8,0.0,737,0.9332095000008849,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",100,1024,3
41,16,1.0,746,0.9595807370005787,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0]",100,1024,3
42,32,6.0,765,0.9937891530007619,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",100,1024,3
43,64,8.0,798,1.0450305030008167,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",100,1024,3
44,128,15.0,864,1.1461370079996414,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100,1024,3
45,256,15.0,962,1.3000176690002263,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100,1024,3
46,512,15.0,962,1.3000176690002263,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100,1024,3
47,1024,15.0,962,1.3000176690002263,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100,1024,3
48,0,1.0,962,1.3230530060009187,"[0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0]",100,1024,4
49,1,1.0,963,1.3451974439994956,"[0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0]",100,1024,4
50,2,1.0,964,1.3630071589996078,"[0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0]",100,1024,4
51,4,1.0,966,1.381723790000251,"[0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0]",100,1024,4
52,8,1.0,970,1.4046898010001314,"[0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0]",100,1024,4
53,16,4.0,981,1.432993804999569,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0]",100,1024,4
54,32,23.0,999,1.4716283010002371,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0]",100,1024,4
55,64,23.0,1031,1.5444687790004537,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0]",100,1024,4
56,128,27.0,1097,1.6809185740003159,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",100,1024,4
57,256,27.0,1219,1.9334978189999674,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",100,1024,4
58,512,27.0,1219,1.9334978189999674,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",100,1024,4
59,1024,27.0,1219,1.9334978189999674,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",100,1024,4
60,0,4.0,1219,1.9531534590005322,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]",100,1024,5
61,1,4.0,1220,1.9755598259998806,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]",100,1024,5
62,2,4.0,1221,1.99798843499957,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]",100,1024,5
63,4,4.0,1223,2.026281607999408,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]",100,1024,5
64,8,4.0,1227,2.053012481999758,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]",100,1024,5
65,16,7.0,1236,2.093331398000373,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",100,1024,5
66,32,15.0,1254,2.1546647190007207,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100,1024,5
67,64,15.0,1286,2.267490583999461,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100,1024,5
68,128,15.0,1350,2.4239572050009883,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100,1024,5
69,256,15.0,1397,2.5426562770007877,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100,1024,5
70,512,15.0,1397,2.5426562770007877,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100,1024,5
71,1024,15.0,1397,2.5426562770007877,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100,1024,5
72,0,0.0,1397,2.564968537000823,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",100,1024,6
73,1,0.0,1398,2.5870854940003483,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",100,1024,6
74,2,1.0,1400,2.6116870589994505,"[1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",100,1024,6
75,4,1.0,1402,2.6462145229997986,"[1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",100,1024,6
76,8,1.0,1406,2.6870145249995403,"[1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",100,1024,6
77,16,2.0,1415,2.7398883429996204,"[1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",100,1024,6
78,32,25.0,1435,2.8108138860006875,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100,1024,6
79,64,25.0,1467,2.9257954439999594,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100,1024,6
80,128,27.0,1533,3.11779790699984,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100,1024,6
81,256,27.0,1644,3.450429250000525,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100,1024,6
82,512,27.0,1644,3.450429250000525,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100,1024,6
83,1024,27.0,1644,3.450429250000525,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100,1024,6
84,0,1.0,1644,3.4793864700004633,"[1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1]",100,1024,7
