step,reward,mean,median,std,max,min
0,-0.07236842105263155,-0.07236842105263155,-0.07236842105263155,0.0,-0.07236842105263155,-0.07236842105263155
1,-0.08157894736842106,-0.0769736842105263,-0.0769736842105263,0.004605263157894751,-0.07236842105263155,-0.08157894736842106
2,-0.0883977900552486,-0.0807817194921004,-0.08157894736842106,0.006568198478050741,-0.07236842105263155,-0.0883977900552486
3,-0.11323529411764703,-0.08889511314848707,-0.08498836871183482,0.015160388956282975,-0.07236842105263155,-0.11323529411764703
4,-0.0792079207920792,-0.0869576746772055,-0.08157894736842106,0.014102644644343734,-0.07236842105263155,-0.11323529411764703
5,-0.08627450980392157,-0.08684381386499151,-0.08392672858617131,0.012876411627208916,-0.07236842105263155,-0.11323529411764703
6,-0.07469879518072288,-0.08510881119581028,-0.08157894736842106,0.012656120469484305,-0.07236842105263155,-0.11323529411764703
7,-0.08719512195121949,-0.08536960004023642,-0.08392672858617131,0.011858806344673864,-0.07236842105263155,-0.11323529411764703
8,-0.09278350515463916,-0.08619336727517006,-0.08627450980392157,0.011420784952070849,-0.07236842105263155,-0.11323529411764703
9,-0.11139240506329111,-0.08871327105398216,-0.08673481587757054,0.013211363726714474,-0.07236842105263155,-0.11323529411764703
10,-0.07558139534883719,-0.08751946417169626,-0.08627450980392157,0.01315007967876559,-0.07236842105263155,-0.11323529411764703
11,-0.09182879377431907,-0.08787857497191483,-0.08673481587757054,0.01264645321146987,-0.07236842105263155,-0.11323529411764703
12,-0.10463917525773195,-0.0891678519169777,-0.08719512195121949,0.012945156541127276,-0.07236842105263155,-0.11323529411764703
13,-0.09455958549222798,-0.08955297574378128,-0.08779645600323405,0.01255131273226786,-0.07236842105263155,-0.11323529411764703
14,-0.0809090909090909,-0.08897671675480191,-0.08719512195121949,0.012315929920078704,-0.07236842105263155,-0.11323529411764703
15,-0.0631578947368421,-0.08736304037867942,-0.08673481587757054,0.013463330508713615,-0.0631578947368421,-0.11323529411764703
16,-0.06769230769230769,-0.08620593845595168,-0.08627450980392157,0.013857164161110842,-0.0631578947368421,-0.11323529411764703
17,-0.06499999999999997,-0.08502783076395436,-0.08392672858617131,0.014316008759780863,-0.0631578947368421,-0.11323529411764703
18,-0.08939393939393937,-0.0852576259550062,-0.08627450980392157,0.013968245032336084,-0.0631578947368421,-0.11323529411764703
19,-0.0896551724137931,-0.08547750327794554,-0.08673481587757054,0.013648254486377702,-0.0631578947368421,-0.11323529411764703
20,-0.1134328358208955,-0.08680870958951459,-0.08719512195121949,0.014589270866865718,-0.0631578947368421,-0.1134328358208955
21,-0.06769230769230769,-0.08593978223055064,-0.08673481587757054,0.014799584407316699,-0.0631578947368421,-0.1134328358208955
22,-0.06769230769230769,-0.08514641377236618,-0.08627450980392157,0.014944975491460366,-0.0631578947368421,-0.1134328358208955
23,-0.07980769230769232,-0.08492396704467144,-0.08392672858617131,0.01466915285540482,-0.0631578947368421,-0.1134328358208955
