steps,time,reward,delta,converged
1,0.012588999999998407,-16.538650350448048,0.2399411196945364,False
2,0.012768000000001223,-11.506877527982137,0.03029317471019377,False
3,0.014179000000002162,-11.458018511871458,0.0003004646489961904,False
4,0.015529999999998267,-11.457236498439086,8.988596201955912e-05,False
5,0.017128999999997063,-11.456905553819622,3.1441009498145434e-06,False
6,0.017869999999998498,-11.456901210706025,3.8532925123180295e-06,False
7,0.017497000000002316,-11.456901210706025,3.8532925123180295e-06,False
8,0.01686600000000027,-11.456901210706025,3.8532925123180295e-06,False
9,0.015294000000000807,-11.456901210706025,3.8532925123180295e-06,False
10,0.013405999999999807,-11.456901210706025,3.8532925123180295e-06,False
11,0.013336999999999932,-11.456901210706025,3.8532925123180295e-06,False
12,0.01846000000000103,-11.456901210706025,3.8532925123180295e-06,False
13,0.013918000000000319,-11.456901210706025,3.8532925123180295e-06,False
14,0.013217999999998398,-11.456901210706025,3.8532925123180295e-06,False
15,0.017568000000000694,-11.456901210706025,3.8532925123180295e-06,False
16,0.013526999999999845,-11.456901210706025,3.8532925123180295e-06,False
17,0.013315000000002186,-11.456901210706025,3.8532925123180295e-06,False
18,0.013189000000000561,-11.456901210706025,3.8532925123180295e-06,False
19,0.013049000000002309,-11.456901210706025,3.8532925123180295e-06,False
20,0.013304999999999012,-11.456901210706025,3.8532925123180295e-06,False
21,0.013491999999999393,-11.456901210706025,3.8532925123180295e-06,False
22,0.012997999999999621,-11.456901210706025,3.8532925123180295e-06,False
23,0.01315800000000067,-11.456901210706025,3.8532925123180295e-06,False
24,0.013453000000001936,-11.456901210706025,3.8532925123180295e-06,False
25,0.013018999999999892,-11.456901210706025,3.8532925123180295e-06,False
26,0.014039999999997832,-11.456901210706025,3.8532925123180295e-06,False
27,0.013435999999998671,-11.456901210706025,3.8532925123180295e-06,False
28,0.01415900000000292,-11.456901210706025,3.8532925123180295e-06,False
29,0.013975999999999544,-11.456901210706025,3.8532925123180295e-06,False
30,0.01829800000000148,-11.456901210706025,3.8532925123180295e-06,False
31,0.013376000000000943,-11.456901210706025,3.8532925123180295e-06,False
32,0.013728000000000407,-11.456901210706025,3.8532925123180295e-06,False
33,0.018972000000001543,-11.456901210706025,3.8532925123180295e-06,False
34,0.013549000000001143,-11.456901210706025,3.8532925123180295e-06,False
35,0.013344000000000023,-11.456901210706025,3.8532925123180295e-06,False
36,0.0135290000000019,-11.456901210706025,3.8532925123180295e-06,False
37,0.012971000000000288,-11.456901210706025,3.8532925123180295e-06,False
38,0.013162000000001228,-11.456901210706025,3.8532925123180295e-06,False
39,0.01309699999999836,-11.456901210706025,3.8532925123180295e-06,False
40,0.013028999999999513,-11.456901210706025,3.8532925123180295e-06,False
41,0.013069000000001552,-11.456901210706025,3.8532925123180295e-06,False
42,0.01264799999999866,-11.456901210706025,3.8532925123180295e-06,False
43,0.012790999999999997,-11.456901210706025,3.8532925123180295e-06,False
44,0.013397999999998689,-11.456901210706025,3.8532925123180295e-06,False
45,0.013329000000002367,-11.456901210706025,3.8532925123180295e-06,False
46,0.012906999999998447,-11.456901210706025,3.8532925123180295e-06,False
47,0.013230000000000075,-11.456901210706025,3.8532925123180295e-06,False
48,0.015674000000000632,-11.456901210706025,3.8532925123180295e-06,False
49,0.014983000000000857,-11.456901210706025,3.8532925123180295e-06,False
50,0.014151999999999276,-11.456901210706025,3.8532925123180295e-06,False
51,0.017406999999998618,-11.456901210706025,3.8532925123180295e-06,False
52,0.013636000000001758,-11.456901210706025,3.8532925123180295e-06,False
53,0.013407000000000835,-11.456901210706025,3.8532925123180295e-06,False
54,0.013314999999998633,-11.456901210706025,3.8532925123180295e-06,False
55,0.013276999999998651,-11.456901210706025,3.8532925123180295e-06,False
56,0.013289000000000328,-11.456901210706025,3.8532925123180295e-06,False
57,0.013265999999998002,-11.456901210706025,3.8532925123180295e-06,False
58,0.013035999999999603,-11.456901210706025,3.8532925123180295e-06,False
59,0.01322399999999746,-11.456901210706025,3.8532925123180295e-06,False
60,0.013130000000000308,-11.456901210706025,3.8532925123180295e-06,False
61,0.01338999999999757,-11.456901210706025,3.8532925123180295e-06,False
62,0.01315800000000067,-11.456901210706025,3.8532925123180295e-06,False
63,0.013234000000000634,-11.456901210706025,3.8532925123180295e-06,False
64,0.01326299999999847,-11.456901210706025,3.8532925123180295e-06,False
65,0.013573000000000945,-11.456901210706025,3.8532925123180295e-06,False
66,0.015820999999998975,-11.456901210706025,3.8532925123180295e-06,False
67,0.01605999999999952,-11.456901210706025,3.8532925123180295e-06,False
68,0.01319000000000159,-11.456901210706025,3.8532925123180295e-06,False
69,0.018791000000000224,-11.456901210706025,3.8532925123180295e-06,False
70,0.014438999999999425,-11.456901210706025,3.8532925123180295e-06,False
71,0.01330600000000004,-11.456901210706025,3.8532925123180295e-06,False
72,0.013187000000002058,-11.456901210706025,3.8532925123180295e-06,False
73,0.013453999999999411,-11.456901210706025,3.8532925123180295e-06,False
74,0.013301000000002006,-11.456901210706025,3.8532925123180295e-06,False
75,0.013318999999999193,-11.456901210706025,3.8532925123180295e-06,False
76,0.013522999999999286,-11.456901210706025,3.8532925123180295e-06,False
77,0.013441000000000258,-11.456901210706025,3.8532925123180295e-06,False
78,0.013799000000002337,-11.456901210706025,3.8532925123180295e-06,False
79,0.013707999999997611,-11.456901210706025,3.8532925123180295e-06,False
80,0.013448000000000349,-11.456901210706025,3.8532925123180295e-06,False
81,0.013522999999999286,-11.456901210706025,3.8532925123180295e-06,False
82,0.013868000000002212,-11.456901210706025,3.8532925123180295e-06,False
83,0.013383999999998508,-11.456901210706025,3.8532925123180295e-06,False
84,0.01489700000000127,-11.456901210706025,3.8532925123180295e-06,False
85,0.018588999999998634,-11.456901210706025,3.8532925123180295e-06,False
86,0.019365999999997996,-11.456901210706025,3.8532925123180295e-06,False
87,0.01608099999999979,-11.456901210706025,3.8532925123180295e-06,False
88,0.014584000000002817,-11.456901210706025,3.8532925123180295e-06,False
89,0.013786999999997107,-11.456901210706025,3.8532925123180295e-06,False
90,0.013296999999997894,-11.456901210706025,3.8532925123180295e-06,False
91,0.013871000000001743,-11.456901210706025,3.8532925123180295e-06,False
92,0.013514999999998167,-11.456901210706025,3.8532925123180295e-06,False
93,0.013231000000001103,-11.456901210706025,3.8532925123180295e-06,False
94,0.01366700000000165,-11.456901210706025,3.8532925123180295e-06,False
95,0.013169000000001319,-11.456901210706025,3.8532925123180295e-06,False
96,0.01284300000000016,-11.456901210706025,3.8532925123180295e-06,False
97,0.013797000000000281,-11.456901210706025,3.8532925123180295e-06,False
98,0.013525000000001342,-11.456901210706025,3.8532925123180295e-06,False
99,0.013315000000002186,-11.456901210706025,3.8532925123180295e-06,False
100,0.013663999999998566,-11.456901210706025,3.8532925123180295e-06,False
101,0.013177999999999912,-11.456901210706025,3.8532925123180295e-06,False
102,0.017557000000000045,-11.456901210706025,3.8532925123180295e-06,False
103,0.013667999999999125,-11.456901210706025,3.8532925123180295e-06,False
104,0.018423999999999552,-11.456901210706025,3.8532925123180295e-06,False
105,0.015316999999999581,-11.456901210706025,3.8532925123180295e-06,False
106,0.0130469999999967,-11.456901210706025,3.8532925123180295e-06,False
107,0.01315400000000011,-11.456901210706025,3.8532925123180295e-06,False
108,0.013360999999999734,-11.456901210706025,3.8532925123180295e-06,False
109,0.020283000000002716,-11.456901210706025,3.8532925123180295e-06,False
110,0.016591999999999274,-11.456901210706025,3.8532925123180295e-06,False
111,0.017520999999998565,-11.456901210706025,3.8532925123180295e-06,False
112,0.01725699999999719,-11.456901210706025,3.8532925123180295e-06,False
113,0.019829999999998904,-11.456901210706025,3.8532925123180295e-06,False
114,0.01927199999999729,-11.456901210706025,3.8532925123180295e-06,False
115,0.017680999999999614,-11.456901210706025,3.8532925123180295e-06,False
116,0.01884799999999842,-11.456901210706025,3.8532925123180295e-06,False
117,0.023633999999997712,-11.456901210706025,3.8532925123180295e-06,False
118,0.019009000000000498,-11.456901210706025,3.8532925123180295e-06,False
119,0.01813800000000043,-11.456901210706025,3.8532925123180295e-06,False
120,0.018940000000000623,-11.456901210706025,3.8532925123180295e-06,False
121,0.01777399999999929,-11.456901210706025,3.8532925123180295e-06,False
122,0.021529999999998495,-11.456901210706025,3.8532925123180295e-06,False
123,0.019985999999999393,-11.456901210706025,3.8532925123180295e-06,False
124,0.01919600000000088,-11.456901210706025,3.8532925123180295e-06,False
125,0.01876399999999734,-11.456901210706025,3.8532925123180295e-06,False
