params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",1.6758820000000014,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""discount_factor"": 0.1}",2.0628339999999987,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""discount_factor"": 0.2}",0.9066159999999996,100,-0.08128413658168271,-0.0817391304347826,-0.11956521739130431,-0.030000000000000027,0.01479250546604425
"{""discount_factor"": 0.3}",1.214492,100,-0.07893990380120468,-0.08141592920353984,-0.11184210526315787,-0.04324324324324326,0.014436054793536508
"{""discount_factor"": 0.4}",0.8327050000000007,100,-0.0772587991482409,-0.07990384615384616,-0.11022727272727272,-0.03225806451612906,0.01532779242347483
"{""discount_factor"": 0.5}",1.0027100000000004,100,-0.07469117476716561,-0.07653558052434456,-0.11499999999999998,-0.012500000000000011,0.01588271599273448
"{""discount_factor"": 0.6}",15.079197,100,-0.07276559685432678,-0.07236363636363634,-0.11607142857142858,-0.01923076923076925,0.01795425628818073
"{""discount_factor"": 0.7}",0.8454070000000016,100,-0.06906395364670863,-0.07042253521126757,-0.11999999999999997,-0.012500000000000011,0.018515348138680453
"{""discount_factor"": 0.8}",0.8828690000000066,100,-0.07386862147760978,-0.07324732229795516,-0.1272727272727273,-0.02222222222222224,0.020569584292706805
"{""discount_factor"": 0.9}",0.8108709999999988,100,-0.079267693003701,-0.0746951219512195,-0.16000000000000003,-0.016000000000000014,0.03145511489214014
