episode,length,time,reward,delta
0,21.0,0.0018969999999853826,0.0,2.3718090127113176e-05
1,12.0,0.000998999999978878,0.0,3.069383223478926e-05
2,39.0,0.0026619999999866195,0.0,0.0007711188885129315
3,32.0,0.002192000000036387,0.0,0.000429885798552966
4,18.0,0.0012239999999792417,0.0,0.0007814023365213517
5,23.0,0.002179000000069209,0.0,-6.857514435277266e-05
6,79.0,0.0068360000000211585,0.0,0.00010568615489355254
7,9.0,0.0008230000000821747,0.0,3.491678373459303e-05
8,60.0,0.004133000000024367,0.0,0.0009060041393959583
9,21.0,0.001472000000035223,0.0,3.392958232095581e-05
10,8.0,0.000569000000041342,0.0,5.1128194807884995e-05
11,30.0,0.0021570000000110667,0.0,-4.355341732012799e-05
12,27.0,0.0018940000001066437,0.0,5.1128194807884995e-06
13,19.0,0.0015869999999722495,0.0,5.100438378157033e-05
14,7.0,0.0005009999999856518,0.0,1.3690076662575606e-05
15,13.0,0.000941000000011627,0.0,1.8170347961963575e-05
16,23.0,0.0015700000000151704,0.0,-7.825378681998278e-05
17,31.0,0.0020309999999881256,0.0,4.340907504184481e-05
18,27.0,0.0019350000000031287,0.0,-5.253198546337635e-05
19,21.0,0.0015050000000655928,0.0,4.3409075041844596e-06
20,48.0,0.004146999999989021,0.0,1.7577230043604132e-05
21,23.0,0.0015210000000251966,0.0,1.7577230043603915e-06
22,26.0,0.0017500000000154614,4.0,4.000151168398299
23,23.0,0.0015740000000050713,0.0,7.814023365213516e-05
24,61.0,0.003919999999993706,0.0,2.6737985437856192e-05
25,8.0,0.0005949999999756983,0.0,0.0006006209791348143
26,10.0,0.0007219999999961146,0.0,-4.8450575165205514e-05
27,34.0,0.0027069999999866923,0.0,5.139163936810265e-05
28,15.0,0.00105400000006739,0.0,2.6737985437855867e-06
29,5.0,0.0004339999999274369,0.0,1.7577230043599578e-07
30,30.0,0.0020009999999501815,0.0,7.814023365213495e-06
31,51.0,0.0032689999999320207,0.0,2.720611393487195e-05
32,24.0,0.0015419999999721767,0.0,0.0002799227445477939
33,18.0,0.0011989999999286738,0.0,1.1072062210243784e-05
34,24.0,0.001912000000061198,0.0,5.342406496484529e-05
35,32.0,0.002631000000064887,0.0,5.342406496484562e-06
36,12.0,0.0008649999999761349,0.0,0.0006370534025072487
37,24.0,0.0015670000000227446,0.0,5.100438378157087e-06
38,34.0,0.002234000000044034,0.0,6.8791478209482984e-06
39,23.0,0.0015799999999899228,0.0,6.879147820947756e-07
40,11.0,0.000841000000036729,0.0,2.7992274454779445e-05
41,39.0,0.002495999999950982,0.0,0.0003021038892504124
