episode,length,time,reward,delta
0,25.0,0.0017579999998815765,-3.500000000000001,-0.99
1,48.0,0.003253999999969892,-5.799999999999999,-0.891
2,9.0,0.0006240000000161672,-1.9,-1.0
3,17.0,0.001182999999855383,-2.7,-1.0
4,36.0,0.0025349999998525163,-4.600000000000001,-0.98901
5,21.0,0.0014739999999164866,-3.1000000000000005,-1.0
6,19.0,0.0013639999999668362,-2.9000000000000004,-0.9
7,5.0,0.00038099999983387534,-1.5,-1.0
8,12.0,0.0008740000000670989,-2.2,-1.0
9,84.0,0.0056059999999433785,-9.399999999999986,-0.966894561
10,27.0,0.0019119999999475112,-3.700000000000001,-0.963640791
11,16.0,0.0011509999999361753,-2.6000000000000005,-1.0
12,14.0,0.0009959999999864522,-2.4000000000000004,-0.890109
13,6.0,0.0004409999999097636,-1.6,-0.8019
14,12.0,0.0009219999999459105,-2.2,-0.8672767119
15,4.0,0.0003169999999954598,-1.4,-0.965420678575161
16,33.0,0.0021990000000187138,-4.300000000000002,-1.0
17,17.0,0.0011779999999816937,-2.7,-1.0
18,32.0,0.0022050000000035652,-4.200000000000001,-1.0
19,32.0,0.0026530000000093423,-4.200000000000001,-1.0
20,41.0,0.002752000000100452,-5.100000000000001,-1.0
21,78.0,0.004998999999997977,-8.799999999999988,-0.98901
22,11.0,0.0007149999999001011,-2.0999999999999996,-1.0
23,14.0,0.001125000000001819,-2.4000000000000004,-1.0
24,24.0,0.0016400000001794979,-3.400000000000001,-0.78054904071
25,17.0,0.0011870000000726577,-2.7,-1.0
26,42.0,0.002831000000014683,-5.200000000000001,-1.0
27,26.0,0.0018249999998261046,-3.600000000000001,-0.959598412209
28,20.0,0.0013950000000022555,-3.0000000000000004,-0.9
29,19.0,0.0013530000001082954,-2.9000000000000004,-0.8702051048999999
30,33.0,0.0021549999999024294,-4.300000000000002,-0.8688786107176449
31,74.0,0.004717000000027838,-8.39999999999999,-1.0
32,89.0,0.005767000000105327,-9.899999999999984,-0.98901
33,38.0,0.002540999999837368,-4.8000000000000025,-1.0
34,22.0,0.0016709999999875436,-3.2000000000000006,-0.745653758754954
35,23.0,0.0022370000001501467,-3.3000000000000007,-1.0
36,40.0,0.004295999999840205,-5.000000000000002,-1.0
37,68.0,0.006986000000097192,-7.799999999999992,-1.0
38,21.0,0.0027850000001308217,-3.1000000000000005,-0.9
39,27.0,0.0028319999998984713,-3.700000000000001,-1.0
40,16.0,0.001952999999957683,-2.6000000000000005,-0.9830559383959796
41,14.0,0.0014200000000528235,-2.4000000000000004,-0.816932781
42,21.0,0.0022060000001147273,-3.1000000000000005,-1.0
43,31.0,0.002985999999964406,-4.100000000000001,-0.728444809993271
44,22.0,0.0026789999999436986,-3.2000000000000006,-1.0
45,28.0,0.002838999999994485,-3.800000000000001,-0.99
46,15.0,0.0010529999999562278,-2.5,-0.7352395029000001
47,33.0,0.002195999999912601,-4.300000000000002,-1.0
48,87.0,0.005730000000085056,-9.699999999999985,-0.9869640179812671
49,46.0,0.0030630000001110602,-5.6,-0.8963511173734655
50,28.0,0.0018959999999879074,-3.800000000000001,-0.895847841
51,19.0,0.001298999999789885,-2.9000000000000004,-0.9298607258274642
52,20.0,0.0014269999999214633,-3.0000000000000004,-0.9
53,53.0,0.0036110000000917353,-6.299999999999997,-0.8896283606908215
54,18.0,0.0012429999999312713,-2.8000000000000007,-1.0
55,62.0,0.004114000000072338,-7.199999999999994,-0.8889729845579758
56,82.0,0.005472000000054322,-9.199999999999987,-0.7615388808213592
57,29.0,0.001983000000109314,-3.9000000000000012,-0.8006655246217393
58,117.0,0.00757700000008299,-12.699999999999974,-0.99
59,118.0,0.007719999999835636,-12.799999999999974,-0.99
60,12.0,0.0008649999999761349,-2.2,-0.7672811054942499
61,67.0,0.004458999999997104,-7.699999999999992,-0.9
62,19.0,0.001295999999911146,-2.9000000000000004,-0.7437903292502435
63,37.0,0.002432999999882668,-4.700000000000002,-0.9
64,78.0,0.005085000000008222,-8.799999999999988,-0.8834896471536651
65,35.0,0.0023909999999887077,-4.500000000000002,-0.8792803774591946
66,14.0,0.0009880000000066502,-2.4000000000000004,-0.81
67,33.0,0.002223999999841908,-4.300000000000002,-0.8901
68,45.0,0.002991000000065469,-5.5,-0.6893299769307838
69,145.0,0.009413999999878797,-15.499999999999964,-0.8497953625532213
70,12.0,0.0008689999999660358,-2.2,-0.8000756861021782
71,9.0,0.0006920000000718574,-1.9,-0.7205989721595654
72,21.0,0.001488999999992302,-3.1000000000000005,-0.6788339055774828
73,10.0,0.0007550000000264845,-2.0,-0.8792342025173724
74,31.0,0.0021110000000135187,-4.100000000000001,-0.89901
75,19.0,0.0012930000000324071,-2.9000000000000004,-0.806716005636119
76,41.0,0.002663999999867883,-5.100000000000001,-0.8791728031988583
77,66.0,0.004311999999799809,-7.5999999999999925,-0.9780487573684603
78,18.0,0.0012580000000070868,-2.8000000000000007,-0.8352459848951246
79,21.0,0.0014800000001287117,-3.1000000000000005,-0.809109
80,45.0,0.003092999999807944,-5.5,-0.6891810289322655
81,35.0,0.0023620000001756125,-4.500000000000002,-0.6711252618024771
82,67.0,0.0043980000000374275,-7.699999999999992,-0.89071407801
83,90.0,0.005873000000065076,-9.999999999999984,-0.8167791925672563
84,37.0,0.0024559999999382853,-4.700000000000002,-0.964425048309
85,10.0,0.0006789999999909924,-2.0,-0.6694112963252192
86,40.0,0.002608999999893058,-5.000000000000002,-0.81
87,15.0,0.0010400000001027365,-2.5,-0.6573745199538653
88,10.0,0.0007549999997991108,-2.0,-0.7517213864056121
89,15.0,0.0010469999999713764,-2.5,-0.8600492567784603
90,19.0,0.0012899999999262945,-2.9000000000000004,-0.8368746532447178
91,16.0,0.0011019999999462016,-2.6000000000000005,-0.7351012733105307
92,20.0,0.0014419999999972788,-3.0000000000000004,-0.891
93,31.0,0.002071000000114509,-4.100000000000001,-0.99
94,44.0,0.002923000000009779,-5.4,-0.7836828573559949
95,19.0,0.0012899999999262945,-2.9000000000000004,-0.7963661623020359
96,96.0,0.006243000000040411,-10.599999999999982,-1.0
97,21.0,0.0014000000001033186,-3.1000000000000005,-0.7912555228789724
98,63.0,0.004142000000001644,-7.299999999999994,-0.981
99,14.0,0.0010039999999662541,-2.4000000000000004,-0.729
100,21.0,0.001400999999987107,-3.1000000000000005,-0.729
101,54.0,0.003612999999859312,-6.399999999999997,-0.7839736194569322
102,6.0,0.0005029999999806023,-1.6,-0.620262926039039
103,44.0,0.0029540000000451982,-5.4,-0.9873171
