episode,length,time,reward,delta
0,8.0,0.0006149999999252032,-1.7999999999999998,-1.0004714831800112
1,8.0,0.0005550000000766886,-1.7999999999999998,-1.0004849116702834
2,36.0,0.0023569999999608626,-4.600000000000001,-1.0004744857628092
3,28.0,0.0018589999999676365,-3.800000000000001,-0.9998280059690371
4,11.0,0.0007960000000366563,-2.0999999999999996,-0.9997898196706809
5,25.0,0.0023069999999734137,-3.500000000000001,-0.9903893191938117
6,34.0,0.0022820000000365326,-4.400000000000002,-0.8998452053721334
7,56.0,0.0036330000000361906,-6.599999999999996,-1.0007606953807044
8,17.0,0.0011979999999311985,-2.7,-0.9641947603289518
9,20.0,0.001316999999971813,-3.0000000000000004,-1.000347927249111
10,35.0,0.0023650000000543514,-4.500000000000002,-0.9806007284179623
11,99.0,0.006318999999962216,-10.89999999999998,-1.0000208825012518
12,13.0,0.0009039999999913562,-2.3,-1.0006764753457205
13,14.0,0.000965999999948508,-2.4000000000000004,-1.0000341105355093
14,24.0,0.0015460000000757645,-3.400000000000001,-0.9997456763572353
15,13.0,0.0009249999999383363,-2.3,-1.0007464212919572
16,109.0,0.006950000000074397,-11.899999999999977,-1.000480505798686
17,138.0,0.008705999999961023,-14.799999999999967,-0.9899513511036843
18,78.0,0.00501099999996768,-8.799999999999988,-0.9999407627655108
19,42.0,0.0027200000000675573,-5.200000000000001,-0.9903532499003359
20,23.0,0.001626999999984946,-3.3000000000000007,-0.9899028618285362
21,32.0,0.002066000000013446,-4.200000000000001,-0.8999426208614901
22,44.0,0.002871999999911168,-5.4,-0.8955476344906502
23,28.0,0.0018629999999575375,-3.800000000000001,-1.0005927446575495
24,79.0,0.005094999999982974,-8.899999999999988,-0.8913179249103024
25,12.0,0.000853000000006432,-2.2,-0.8909166412731521
26,27.0,0.00179800000000796,-3.700000000000001,-1.0002255430410159
27,49.0,0.00315699999998742,-5.899999999999999,-0.9728254473364242
28,70.0,0.0058910000000196305,-7.999999999999991,-0.9816504159558931
29,50.0,0.007095000000049367,-5.999999999999998,-0.9729606837855189
30,24.0,0.0022529999999960637,-3.400000000000001,-0.971576218202874
31,9.0,0.0011580000000321888,-1.9,-0.8890115139908504
32,11.0,0.0016419999999470747,-2.0999999999999996,-1.0002162514506678
33,19.0,0.0018870000000106302,-2.9000000000000004,-0.8998108377036129
34,39.0,0.00400200000001405,-4.900000000000002,-0.9902520121651099
35,22.0,0.0024280000000089785,-3.2000000000000006,-0.99010710204847
36,56.0,0.005351000000018757,-6.599999999999996,-0.9998840736788182
37,50.0,0.0055929999999762,-5.999999999999998,-0.8059928710415852
38,35.0,0.0023350000000164073,-4.500000000000002,-0.8755429026027817
39,72.0,0.0046740000000227155,-8.19999999999999,-0.9815087133436129
40,21.0,0.0014740000000301734,-3.1000000000000005,-0.8810551492960026
41,30.0,0.0019889999999804786,-4.000000000000002,-1.0006116914438523
42,51.0,0.0035110000000031505,-6.099999999999998,-0.9897931670688915
43,59.0,0.003985999999940759,-6.899999999999995,-0.7929496343664024
44,128.0,0.008312000000046282,-13.79999999999997,-0.8682463751368079
45,16.0,0.0011060000000497894,-2.6000000000000005,-0.9350501213509467
46,56.0,0.0037989999999581414,-6.599999999999996,-0.9006088278111485
47,86.0,0.0056559999999308275,-9.599999999999985,-0.7879886123425035
48,70.0,0.004545000000007349,-7.999999999999991,-0.9456228274198023
49,52.0,0.003413000000023203,-6.1999999999999975,-0.9999674821147304
50,50.0,0.0033060000000659784,-5.999999999999998,-0.999981133896821
51,10.0,0.0007409999999481443,-2.0,-0.9903657049590237
52,38.0,0.0025689999999940483,-4.8000000000000025,-0.9902666425050166
53,19.0,0.0013440000000173313,-2.9000000000000004,-0.898294013937877
54,58.0,0.0038160000000289074,-6.799999999999995,-0.8891703757551893
55,140.0,0.009254000000055385,-14.999999999999966,-1.0002082716268414
56,81.0,0.005206000000043787,-9.099999999999987,-0.989662450161565
57,133.0,0.008546000000023923,-14.299999999999969,-0.9665927978871196
58,27.0,0.001828000000045904,-3.700000000000001,-0.9903585316501362
59,19.0,0.0012600000000020373,-2.9000000000000004,-0.9900518300486781
60,117.0,0.007583000000067841,-12.699999999999974,-0.9397795367410657
61,149.0,0.009751000000051135,-15.899999999999963,-1.0002146482263115
62,68.0,0.004460999999992055,-7.799999999999992,-0.8750062523001991
63,24.0,0.0016419999999470747,-3.400000000000001,-0.9815471702828056
64,18.0,0.0012200000001030276,-2.8000000000000007,-0.8800672517435272
65,25.0,0.001648000000045613,-3.500000000000001,-0.9999413529108139
66,93.0,0.006071000000019922,-10.299999999999983,-0.8187514692272322
67,26.0,0.001760999999987689,-3.600000000000001,-0.8099524244028107
68,22.0,0.0014760000000251239,-3.2000000000000006,-0.8855784570910474
69,42.0,0.00276500000006763,-5.200000000000001,-0.8018249771458368
70,12.0,0.0008689999999660358,-2.2,-0.8098297539332515
71,18.0,0.0012219999999842912,-2.8000000000000007,-0.8851789221200909
72,65.0,0.00421300000004976,-7.499999999999993,-0.900684625842634
73,59.0,0.003868000000011307,-6.899999999999995,-0.9510711599161388
74,50.0,0.0032559999999648426,-5.999999999999998,-0.9896185195694348
75,114.0,0.007468000000017128,-12.399999999999975,-0.9811424038788978
76,45.0,0.002972999999997228,-5.5,-0.9718657855279133
77,11.0,0.000803000000018983,-2.0999999999999996,-0.7920605265691745
78,56.0,0.0036780000000362634,-6.599999999999996,-0.736876322304509
79,22.0,0.0014739999999164866,-3.2000000000000006,-0.9812570665711775
80,60.0,0.003982999999948333,-6.999999999999995,-0.9904626566699235
81,87.0,0.005649999999945976,-9.699999999999985,-1.000169603781379
82,76.0,0.00492399999995996,-8.599999999999989,-0.7443574450493475
83,24.0,0.0016570000000228902,-3.400000000000001,-0.9721060063331911
84,13.0,0.00091999999995096,-2.3,-0.9716207297958223
85,28.0,0.001995000000079017,-3.800000000000001,-0.7216424794312531
86,39.0,0.00255600000002687,-4.900000000000002,-0.891226810948599
87,45.0,0.0029379999999719075,-5.5,-0.9901467512959194
88,11.0,0.0007229999999935899,-2.0999999999999996,-0.8908138503620023
89,58.0,0.003768000000036409,-6.799999999999995,-0.7875056270701792
90,85.0,0.005704000000037013,-9.499999999999986,-0.9453132544722516
91,30.0,0.0032320000000254367,-4.000000000000002,-0.8846671857105224
92,21.0,0.0020980000000463406,-3.1000000000000005,-0.9291952464338775
93,180.0,0.021318999999948574,-18.999999999999986,-0.9706282350920689
94,132.0,0.013310000000046784,-14.199999999999969,-0.9000187942511266
95,52.0,0.003362000000038279,-6.1999999999999975,-0.929017829198279
96,45.0,0.003012000000012449,-5.5,-0.8794855011923605
97,21.0,0.0015260000000125729,-3.1000000000000005,-0.9002029887369142
98,43.0,0.0028379999999970096,-5.300000000000001,-0.7742726840718479
99,64.0,0.004330999999979213,-7.399999999999993,-0.8747626533607902
100,18.0,0.0012570000000096115,-2.8000000000000007,-0.8918685369956597
101,165.0,0.010401000000001659,-17.499999999999964,-0.8159056670507614
102,113.0,0.007174999999961074,-12.299999999999976,-0.899890164187699
103,46.0,0.0029749999999921783,-5.6,-0.8910963918436229
104,107.0,0.006850999999983287,-11.699999999999978,-0.7872863880247112
105,24.0,0.001622999999995045,-3.400000000000001,-0.7288467785399264
106,91.0,0.005851000000006934,-10.099999999999984,-0.8735654115828619
107,31.0,0.002044999999952779,-4.100000000000001,-0.9893090501759139
108,58.0,0.003731000000016138,-3.7999999999999954,2.000085190022318
109,24.0,0.0015610000000378932,-3.400000000000001,-0.9899200457724491
110,276.0,0.0180920000000242,-28.600000000000122,-0.9812939812264807
111,36.0,0.002330000000029031,-4.600000000000001,-0.8597855512590472
112,163.0,0.010320999999976266,-17.29999999999996,-0.9004324552188175
113,93.0,0.005921999999941363,-10.299999999999983,-0.8918073265846377
114,75.0,0.004807999999911772,-8.49999999999999,-0.8833578420092516
115,65.0,0.0041640000000597865,-7.499999999999993,-1.0007152228819147
116,110.0,0.007456999999931213,-11.999999999999977,-0.8351891210119311
117,68.0,0.004339000000072701,-7.799999999999992,-0.8163956799460932
118,39.0,0.0025120000000242726,-4.900000000000002,-0.8019867526592606
119,46.0,0.0029879999999593565,-5.6,-0.9568645753523993
120,181.0,0.011529999999993379,-19.099999999999987,-0.8026265939261739
121,318.0,0.020219999999994798,-32.80000000000018,-1.0001888249508655
122,105.0,0.006755999999995765,-11.499999999999979,-0.8885360086896282
123,96.0,0.006103999999936605,-10.599999999999982,-0.7949293418887211
124,168.0,0.010625000000004547,-17.79999999999997,-0.8811971854023098
125,65.0,0.004307000000039807,-7.499999999999993,-0.8811590778712052
126,31.0,0.002083000000084212,-4.100000000000001,-0.7516963141682717
127,262.0,0.023236999999994623,-27.200000000000102,-0.7347561119514838
128,23.0,0.0021649999999908687,-3.3000000000000007,-0.802104129853739
129,42.0,0.004817000000002736,-5.200000000000001,-0.7223639345335564
130,107.0,0.01079200000003766,-11.699999999999978,-0.8176393470688772
131,55.0,0.006149000000050364,-3.4999999999999964,2.0093633337655943
132,500.0,0.03192999999998847,-50.10000000000044,-0.0028226125633692978
133,98.0,0.006289999999921747,-10.799999999999981,-0.874972674141639
