step,reward,mean,median,std,max,min
0,-0.07558139534883719,-0.07558139534883719,-0.07558139534883719,0.0,-0.07558139534883719,-0.07558139534883719
1,-0.06818181818181816,-0.07188160676532768,-0.07188160676532768,0.003699788583509514,-0.06818181818181816,-0.07558139534883719
2,-0.11636363636363632,-0.0867089499647639,-0.07558139534883719,0.021185510057966025,-0.06818181818181816,-0.11636363636363632
3,-0.08719512195121949,-0.08683049296137779,-0.08138825865002834,0.01834839762519366,-0.06818181818181816,-0.11636363636363632
4,-0.06818181818181816,-0.08310075800546587,-0.07558139534883719,0.01802705321718376,-0.06818181818181816,-0.11636363636363632
5,-0.078125,-0.08227146500455489,-0.07685319767441859,0.016560520547961217,-0.06818181818181816,-0.11636363636363632
6,-0.04999999999999999,-0.07766125571818991,-0.07558139534883719,0.019041962274364645,-0.04999999999999999,-0.11636363636363632
7,-0.08727272727272727,-0.07886268966250708,-0.07685319767441859,0.01809353174504464,-0.04999999999999999,-0.11636363636363632
8,-0.09027777777777778,-0.08013103278642604,-0.078125,0.017431877301308806,-0.04999999999999999,-0.11636363636363632
9,-0.0727272727272727,-0.07939065678051072,-0.07685319767441859,0.01668582396210367,-0.04999999999999999,-0.11636363636363632
10,-0.09490291262135922,-0.08080086185695148,-0.078125,0.016522496598388225,-0.04999999999999999,-0.11636363636363632
11,-0.07717391304347823,-0.08049861612249538,-0.07764945652173912,0.01585081585746942,-0.04999999999999999,-0.11636363636363632
12,-0.10576923076923077,-0.08244250955685964,-0.078125,0.016651313052633662,-0.04999999999999999,-0.11636363636363632
13,-0.12368421052631581,-0.08538834534039222,-0.08266006097560974,0.019242526495950457,-0.04999999999999999,-0.12368421052631581
14,-0.06818181818181816,-0.08424124352982061,-0.078125,0.01907908890498438,-0.04999999999999999,-0.12368421052631581
15,-0.07586206896551721,-0.08371754511955165,-0.07764945652173912,0.018584262340157684,-0.04999999999999999,-0.12368421052631581
16,-0.06557377049180325,-0.08265026425909587,-0.07717391304347823,0.018527926397405935,-0.04999999999999999,-0.12368421052631581
17,-0.10612244897959182,-0.08395427452134564,-0.07764945652173912,0.018791494009245086,-0.04999999999999999,-0.12368421052631581
18,-0.09179687500000003,-0.08436704296759061,-0.078125,0.01837394272224232,-0.04999999999999999,-0.12368421052631581
19,-0.078125,-0.08405494081921108,-0.078125,0.017960301497237416,-0.04999999999999999,-0.12368421052631581
20,-0.078125,-0.08377256268496293,-0.078125,0.017572893506393503,-0.04999999999999999,-0.12368421052631581
21,-0.09121338912133892,-0.08411078206843457,-0.078125,0.017238682158361742,-0.04999999999999999,-0.12368421052631581
22,-0.10456852791878171,-0.08500024927931923,-0.078125,0.0173682749855433,-0.04999999999999999,-0.12368421052631581
23,-0.0734177215189873,-0.08451764395597205,-0.078125,0.017159394423018493,-0.04999999999999999,-0.12368421052631581
24,-0.07980769230769232,-0.08432924589004086,-0.078125,0.016838018774073395,-0.04999999999999999,-0.12368421052631581
25,-0.11168831168831166,-0.08538151765151282,-0.07896634615384615,0.017329056540184334,-0.04999999999999999,-0.12368421052631581
26,-0.09451697127937336,-0.08571986778587802,-0.07980769230769232,0.017092414113262466,-0.04999999999999999,-0.12368421052631581
27,-0.0926315789473684,-0.0859667146130741,-0.0835014071294559,0.016833355877891688,-0.04999999999999999,-0.12368421052631581
28,-0.08073394495412843,-0.085786274280007,-0.08073394495412843,0.016568114410780307,-0.04999999999999999,-0.12368421052631581
29,-0.0691176470588235,-0.0852306533726342,-0.08027081863091037,0.016562157402132092,-0.04999999999999999,-0.12368421052631581
30,-0.08531468531468528,-0.08523336408044231,-0.08073394495412843,0.016292842845834835,-0.04999999999999999,-0.12368421052631581
31,-0.07640449438202246,-0.08495746190236672,-0.08027081863091037,0.0161096551054631,-0.04999999999999999,-0.12368421052631581
