episode,length,time,reward,delta
0,35.0,0.002483999999867592,-4.500000000000002,-1.0
1,32.0,0.0023810000000139553,-4.200000000000001,-1.0
2,21.0,0.0016749999999774445,-3.1000000000000005,-0.99
3,46.0,0.0035689999999704014,-5.6,-0.99
4,47.0,0.003355000000055952,-5.699999999999999,-1.0
5,20.0,0.0013480000000072323,-3.0000000000000004,-1.0
6,25.0,0.0017170000000987784,-3.500000000000001,-0.980187
7,34.0,0.0022509999998874264,-4.400000000000002,-0.99
8,37.0,0.0024109999999382126,-4.700000000000002,-0.9715407
9,36.0,0.0022799999999278953,-4.600000000000001,-0.9
10,13.0,0.0008370000000468281,-2.3,-0.9897
11,12.0,0.0008350000000518776,-2.2,-1.0
12,72.0,0.004592000000002372,-8.19999999999999,-0.981
13,25.0,0.0016700000001037552,-3.500000000000001,-1.0
14,101.0,0.006540999999970154,-11.09999999999998,-0.88247472156087
15,39.0,0.003016000000116037,-4.900000000000002,-0.87438663
16,17.0,0.001182999999855383,-2.7,-0.99
17,39.0,0.0030390000001716544,-4.900000000000002,-1.0
18,49.0,0.003373999999894295,-5.899999999999999,-1.0
19,92.0,0.006123000000116008,-10.199999999999983,-1.0
20,108.0,0.007967000000007829,-11.799999999999978,-1.0
21,40.0,0.002743000000009488,-5.000000000000002,-1.0
22,52.0,0.0035029999999096617,-6.1999999999999975,-0.96561
23,32.0,0.0025669999999990978,-4.200000000000001,-1.0
24,116.0,0.009902999999894746,-12.599999999999975,-1.0
25,32.0,0.0023240000000441796,-4.200000000000001,-0.891
26,69.0,0.005941999999777181,-7.8999999999999915,-1.0
27,73.0,0.006380999999919368,-8.29999999999999,-1.0
28,42.0,0.003913999999895168,-5.200000000000001,-0.9568079673
29,12.0,0.0009519999998701678,-2.2,-0.99
30,97.0,0.006890999999995984,-10.699999999999982,-0.8706445478484595
31,20.0,0.0015540000001692533,-3.0000000000000004,-0.9
32,66.0,0.00691699999993034,-7.5999999999999925,-1.0
33,52.0,0.0060130000001663575,-6.1999999999999975,-1.0
34,10.0,0.001119999999900756,-2.0,-0.9548062475716395
35,40.0,0.004879999999957363,-5.000000000000002,-0.8903191006305777
36,60.0,0.0071170000001075095,-6.999999999999995,-1.0
37,30.0,0.0026699999998527346,-4.000000000000002,-0.8869211397756969
38,44.0,0.003742999999985841,-5.4,-0.7835800930636135
39,22.0,0.0020170000000234722,-3.2000000000000006,-0.81
40,34.0,0.0029850000000806176,-4.400000000000002,-0.99
41,35.0,0.0029799999999795546,-4.500000000000002,-0.972657
42,8.0,0.0007639999998900748,-1.7999999999999998,-0.9489487117231237
43,130.0,0.010913999999957014,-13.99999999999997,-0.981
44,29.0,0.0025170000001253356,-3.9000000000000012,-0.7869479669999999
45,31.0,0.002764999999953943,-4.100000000000001,-0.8782995539444693
46,26.0,0.0022349999999278225,-3.600000000000001,-0.9888383156883039
47,48.0,0.0039300000000821456,-5.799999999999999,-0.729
48,25.0,0.0021099999999023566,-3.500000000000001,-0.9561073376193
49,18.0,0.0015370000000984874,-2.8000000000000007,-0.876278678708651
50,59.0,0.004728999999997541,-6.899999999999995,-0.99
51,34.0,0.0027000000000043656,-4.400000000000002,-1.0
52,128.0,0.009636000000000422,-13.79999999999997,-0.9
53,12.0,0.0009699999998247222,-2.2,-0.8154299235600856
54,42.0,0.0029460000000653963,-5.200000000000001,-0.8636244848630372
55,9.0,0.0007290000000921282,-1.9,-0.733886931204077
56,40.0,0.002708999999867956,-5.000000000000002,-1.0
57,34.0,0.002234000000044034,-4.400000000000002,-0.9706779156985041
58,138.0,0.009107999999969252,-14.799999999999967,-1.0
59,15.0,0.0010689999999158317,-2.5,-0.815088674822628
60,108.0,0.00819099999989703,-11.799999999999978,-0.7465693487633934
61,16.0,0.0010850000001028093,-2.6000000000000005,-0.99
62,29.0,0.0020629999999073334,-3.9000000000000012,-0.89442890844497
63,26.0,0.001856999999972686,-3.600000000000001,-0.897535740975738
64,22.0,0.0016250000001036824,-3.2000000000000006,-1.0
65,26.0,0.0018580000000838481,-3.600000000000001,-0.7966648913885277
66,90.0,0.005992999999989479,-9.999999999999984,-0.7169984022496749
67,39.0,0.002690000000029613,-4.900000000000002,-0.671912413887054
68,16.0,0.0011409999999614229,-2.6000000000000005,-1.0
69,70.0,0.004812000000129046,-7.999999999999991,-0.7237197243392481
70,52.0,0.004192999999986569,-6.1999999999999975,-0.99
71,93.0,0.006059999999934007,-10.299999999999983,-1.0
72,21.0,0.001504999999951906,-3.1000000000000005,-1.0
73,54.0,0.0037620000000515574,-6.399999999999997,-0.8109131020799671
74,22.0,0.0015289999998913117,-3.2000000000000006,-0.6723109253022074
75,112.0,0.007757999999967069,-12.199999999999976,-0.8852207060492633
76,69.0,0.004541000000017448,-7.8999999999999915,-0.9897
77,64.0,0.004405000000133441,-7.399999999999993,-0.7298217918719704
78,100.0,0.006660000000010768,-10.99999999999998,-1.0
79,18.0,0.0012910000000374566,-2.8000000000000007,-0.6568396126847733
80,17.0,0.0012639999999919382,-2.7,-0.981
81,80.0,0.005341000000044005,-8.999999999999988,-0.812121308203503
82,37.0,0.002510000000029322,-4.700000000000002,-0.97204263
83,60.0,0.005562000000054468,-6.999999999999995,-0.9046135297198588
84,29.0,0.003476000000091517,-3.9000000000000012,-0.9349001293936579
85,132.0,0.009776999999985492,-14.199999999999969,-0.8924028831386107
86,31.0,0.002076999999871987,-4.100000000000001,-0.618317521584808
87,71.0,0.0049489999998968415,-8.09999999999999,-0.8031625948247496
88,28.0,0.0019500000000789441,-3.800000000000001,-0.8887711829338198
89,106.0,0.006746999999904801,-11.599999999999978,-0.9729
90,123.0,0.00797099999999773,-13.299999999999972,-0.8736101241286537
91,66.0,0.004343999999946391,-7.5999999999999925,-0.99
92,18.0,0.0013659999999617867,-2.8000000000000007,-1.0
93,35.0,0.0023850000000038563,-4.500000000000002,-0.8172188451084976
94,21.0,0.001389000000017404,-3.1000000000000005,-0.99
95,53.0,0.0036710000001676235,-6.299999999999997,-0.9897
96,14.0,0.0010190000000420696,-2.4000000000000004,-0.9
97,49.0,0.0031229999999595748,-5.899999999999999,-0.6301428724330119
98,12.0,0.000826999999844702,-2.2,-0.6981577209700032
99,50.0,0.0034270000001015433,-5.999999999999998,-0.888516673993555
100,139.0,0.0088269999998829,-14.899999999999967,-0.8049860176004731
101,81.0,0.0052550000000337604,-9.099999999999987,-0.7998940646404378
102,12.0,0.0008660000000872969,-2.2,-0.7244874158404258
103,98.0,0.006851999999980762,-10.799999999999981,-0.9701264422417286
104,24.0,0.002694000000019514,-3.400000000000001,-0.7950055912628679
105,18.0,0.0017629999999826396,-2.8000000000000007,-0.7490473127818829
106,98.0,0.008632999999917956,-10.799999999999981,-0.9595496937916902
107,23.0,0.0020829999998568383,-3.3000000000000007,-0.87682047
108,18.0,0.0014300000000275759,-2.8000000000000007,-0.8606324519317001
109,8.0,0.0006499999999505235,-1.7999999999999998,-0.6531564371366831
110,135.0,0.008882999999968888,-14.499999999999968,-0.97263
111,89.0,0.006354000000101223,-9.899999999999984,-0.9
112,134.0,0.009245999999848209,-14.399999999999968,-0.81
113,88.0,0.0073840000000018335,-9.799999999999985,-0.8414101164542921
114,48.0,0.004749999999830834,-5.799999999999999,-0.81
115,21.0,0.001590000000078362,-3.1000000000000005,-0.8241987539555617
116,18.0,0.0014630000000579457,-2.8000000000000007,-0.971068542564158
117,13.0,0.0014229999999315623,-2.3,-0.9720789
118,104.0,0.008127000000058615,-11.399999999999979,-0.9496431433738887
119,41.0,0.0028829999998833955,-5.100000000000001,-0.9
120,15.0,0.001117000000022017,-2.5,-0.9
121,9.0,0.0006939999998394342,-1.9,-0.5878407934230148
122,125.0,0.008651000000099884,-13.499999999999972,-0.7052220837572521
123,33.0,0.0023780000001352164,-4.300000000000002,-0.8981862479815318
124,18.0,0.001326000000062777,-2.8000000000000007,-0.8948608327221896
125,5.0,0.0004239999998389976,-1.5,-0.6388206778117431
126,79.0,0.005472999999938111,-8.899999999999988,-0.77456920673853
127,34.0,0.0024519999999483844,-4.400000000000002,-0.855188450122238
128,57.0,0.004032999999935782,-6.699999999999996,-0.9807
129,20.0,0.0016069999999217544,-3.0000000000000004,-0.7572691048088629
130,11.0,0.0010019999999713036,-2.0999999999999996,-0.8759458621674235
131,107.0,0.008939999999938664,-11.699999999999978,-0.9790120810270807
132,81.0,0.006769999999960419,-9.099999999999987,-0.5618997482730148
133,46.0,0.0037710000001425215,-5.6,-0.6741425815036945
134,135.0,0.011059000000159358,-14.499999999999968,-0.8605960604209657
135,56.0,0.004649999999855936,-6.599999999999996,-0.7772620363767334
136,140.0,0.011779999999816937,-14.999999999999966,-0.8908846102588439
137,34.0,0.003047999999807871,-4.400000000000002,-0.7963585287819432
138,63.0,0.005388000000039028,-7.299999999999994,-0.891
139,32.0,0.0027539999998680287,-4.200000000000001,-0.6520386742563832
140,22.0,0.0019010000000889704,-3.2000000000000006,-0.7167226759037488
141,12.0,0.001113000000032116,-2.2,-0.715505032136581
142,122.0,0.009573999999929583,-13.199999999999973,-0.9551285574402919
143,48.0,0.003830999999991036,-5.799999999999999,-0.8906087922595803
144,72.0,0.005245999999942796,-8.19999999999999,-0.8075466646257559
145,81.0,0.0055310000000190485,-9.099999999999987,-0.6461097977297907
146,27.0,0.0018610000001899607,-3.700000000000001,-0.7562878974801692
147,129.0,0.010118999999804146,-13.89999999999997,-0.8977707701837201
148,100.0,0.007548000000042521,-10.99999999999998,-0.817118425150474
149,60.0,0.004525000000057844,-1.9999999999999947,4.0
150,97.0,0.007364000000052329,-10.699999999999982,-0.7567856361487327
151,27.0,0.001981999999998152,-3.700000000000001,-0.87487101
152,42.0,0.002899000000070373,-5.200000000000001,-0.8948337037610655
153,101.0,0.006754000000000815,-11.09999999999998,-0.8899544841194735
154,129.0,0.011811999999963518,-13.89999999999997,-0.7027078370107591
155,38.0,0.003214999999954671,-4.8000000000000025,-0.5814988179568117
156,67.0,0.004715000000032887,-7.699999999999992,-1.0
157,26.0,0.0017960000000130094,-3.600000000000001,-0.8898656115635134
158,56.0,0.0038580000000365544,-6.599999999999996,-0.8968313844245148
159,41.0,0.002740000000130749,-5.100000000000001,-0.7966986354443369
160,49.0,0.0035380000001623557,-5.899999999999999,-0.8169087998036134
161,122.0,0.008072999999967578,-13.199999999999973,-0.8019
162,58.0,0.004192999999986569,-6.799999999999995,-0.6811070725338595
163,59.0,0.003815000000031432,-6.899999999999995,-0.7170287718999032
164,116.0,0.0077559999999721185,-12.599999999999975,-0.6995358327390601
165,82.0,0.005735000000186119,-9.199999999999987,-0.6548256915935401
166,23.0,0.0016359999999622232,-3.3000000000000007,-0.6439545289229229
167,55.0,0.003701000000091881,-6.4999999999999964,-0.8828412950834558
168,79.0,0.005515999999943233,-8.899999999999988,-0.8145308608650407
169,38.0,0.0029339999998683197,-4.8000000000000025,-0.7972349472292722
170,112.0,0.007250999999996566,-12.199999999999976,-0.7486990021466624
171,101.0,0.006784000000152446,-11.09999999999998,-0.879267660707784
172,59.0,0.003998000000137836,-6.899999999999995,-0.7558780052862168
173,61.0,0.004224000000021988,-7.099999999999994,-0.8555814379888197
174,43.0,0.0028540000000703003,-5.300000000000001,-0.7724482897959668
175,21.0,0.0015670000000227446,1.8999999999999995,4.01
176,134.0,0.008972000000085245,-14.399999999999968,-0.7330777747785366
177,194.0,0.012966000000005806,-20.400000000000006,-0.7324366505193933
178,82.0,0.005218999999897278,-4.199999999999987,4.0193
179,33.0,0.0021799999999529973,-4.300000000000002,-0.8944359258259512
180,94.0,0.0061990000001515,-10.399999999999983,-0.8910472684437605
181,19.0,0.001251000000138447,-2.9000000000000004,-0.8190009204188389
182,77.0,0.006611999999904583,-8.699999999999989,-0.800879050407162
183,88.0,0.009759000000030937,-9.799999999999985,-0.864885499761825
184,25.0,0.001891000000114218,-3.500000000000001,-0.6067283233533252
185,62.0,0.004545000000007349,-7.199999999999994,-0.8071482459820634
186,82.0,0.005778999999847656,-9.199999999999987,-0.6738291019319961
187,33.0,0.0022730000000592554,-4.300000000000002,-0.6995097148537266
188,231.0,0.015463999999838052,-24.10000000000006,-0.805350333384959
189,31.0,0.0020669999998972344,-4.100000000000001,-0.875367
190,37.0,0.0025200000000040745,-4.700000000000002,-0.586785749836112
191,97.0,0.006566000000020722,-10.699999999999982,-0.8965860860011036
192,71.0,0.004603999999972075,-8.09999999999999,-0.7119996095545856
193,110.0,0.007272000000057233,-11.999999999999977,-0.6805244156239275
194,17.0,0.0012819999999464926,-2.7,-0.5893431224341861
195,90.0,0.006781999999930122,-9.999999999999984,-0.8038445237051757
196,99.0,0.0068229999999402935,-10.89999999999998,-0.6802902047575952
197,84.0,0.005599999999958527,-9.399999999999986,-0.5408539897923708
198,22.0,0.0015300000000024738,-3.2000000000000006,-0.8066276054021496
199,25.0,0.002424999999902866,-3.500000000000001,-0.7403131284690396
200,117.0,0.013090999999803898,-12.699999999999974,-0.9448252372664494
201,25.0,0.0020469999999477295,-3.500000000000001,-0.659192985467454
202,305.0,0.019554999999854772,-31.500000000000163,-0.5610120341066166
203,30.0,0.001952999999957683,-4.000000000000002,-0.8053747494499707
204,79.0,0.005069000000048618,-8.899999999999988,-0.724815300046463
205,155.0,0.009861000000000786,-16.49999999999996,-0.6662818156221357
206,8.0,0.0006750000000010914,-1.7999999999999998,-0.6031708964768727
207,78.0,0.00599699999997938,-8.799999999999988,-0.7275751903738698
208,182.0,0.01259499999991931,-19.19999999999999,-0.6628243708247953
209,68.0,0.004683999999997468,-7.799999999999992,-0.8811108729243726
210,127.0,0.008559000000104788,-8.69999999999997,3.609
211,20.0,0.0015439999999671272,-3.0000000000000004,-0.48676859081313373
212,198.0,0.013555999999880441,-15.800000000000011,3.2481
213,26.0,0.001887000000124317,-3.600000000000001,-0.6782086245280253
214,41.0,0.0029050000000552245,-5.100000000000001,-0.6103877620752227
215,68.0,0.004466999999976906,-7.799999999999992,-0.9
216,208.0,0.014194000000088636,-21.800000000000026,-0.9
217,121.0,0.00822699999980614,-13.099999999999973,-0.886399206071996
218,116.0,0.007552000000032422,-12.599999999999975,-0.6138669378799272
219,132.0,0.010177000000112457,-9.199999999999969,2.9232899999999997
220,27.0,0.003099000000020169,-3.700000000000001,-0.8860568911084307
221,66.0,0.007093000000168104,-7.5999999999999925,-0.6310509308825418
222,119.0,0.009609999999838692,-7.899999999999974,2.630961
223,280.0,0.019238999999970474,-24.000000000000128,3.6
224,65.0,0.004204000000072483,-7.499999999999993,-0.6374120278498313
225,41.0,0.0031299999998282146,-5.100000000000001,-0.799825558974923
226,94.0,0.0066610000001219305,-10.399999999999983,-0.5795590760306306
227,142.0,0.010071000000152708,-15.199999999999966,-0.8813700420585437
228,64.0,0.004110999999966225,-7.399999999999993,-0.891
229,166.0,0.011554999999816573,-17.599999999999966,-0.5736708250648481
230,277.0,0.021907000000055632,-23.700000000000124,2.3678649
231,260.0,0.017117999999982203,-27.0000000000001,-0.6226560629299319
232,35.0,0.002353999999968437,-4.500000000000002,-0.7764695296309617
233,84.0,0.005317999999988388,-9.399999999999986,-0.7796267130297379
234,52.0,0.003584000000046217,-6.1999999999999975,-0.970083100664127
235,88.0,0.005767999999989115,-9.799999999999985,-0.5460554910179926
236,500.0,0.03297100000008868,-50.10000000000044,-0.0021049539300007913
237,500.0,0.03279899999984082,-50.10000000000044,-0.00011819608628566014
238,221.0,0.014893999999912921,-23.100000000000044,-0.726433421383857
239,197.0,0.013733000000001994,-20.70000000000001,-0.99
240,40.0,0.002695000000130676,-5.000000000000002,-0.5829467980600596
241,215.0,0.018859999999904176,-22.500000000000036,-0.6786278035127664
242,48.0,0.004746999999952095,-5.799999999999999,-0.8879306008422438
243,155.0,0.010346999999910622,-16.49999999999996,-0.7866448476177998
244,217.0,0.014300000000048385,-22.70000000000004,-0.8172740364704618
245,114.0,0.008220000000164873,-12.399999999999975,-0.8722314212566387
246,105.0,0.0072920000000067375,-6.499999999999979,2.5057525121
247,152.0,0.010708999999906155,-16.19999999999996,-0.8746129643594054
248,225.0,0.01580399999988913,-23.50000000000005,-0.81
249,44.0,0.0030169999999998254,-5.4,-0.9797540977003549
250,63.0,0.004257000000052358,-7.299999999999994,-0.6729810023000657
251,140.0,0.015025999999807027,-14.999999999999966,-0.5304088101907675
252,344.0,0.024041000000124768,-35.40000000000022,-0.5996536340599221
253,129.0,0.00853000000006432,-13.89999999999997,-0.7016640417267641
254,76.0,0.0055570000001807784,-8.599999999999989,-0.4799973633872634
255,41.0,0.0028260000001409935,-5.100000000000001,-0.7357099451099172
256,88.0,0.006759000000101878,-9.799999999999985,-0.5742876564047306
257,163.0,0.011834000000135347,-17.29999999999996,-0.8675997121543244
258,27.0,0.001956999999947584,-3.700000000000001,-0.6056829020700591
259,59.0,0.004445000000032451,-6.899999999999995,-0.5493489858677005
260,155.0,0.010986999999886393,-11.499999999999961,2.714331742321791
261,65.0,0.00446900000019923,-7.499999999999993,-0.5246521182540536
262,43.0,0.003490999999939959,-5.300000000000001,-0.7530498056704277
263,151.0,0.010665999999901032,-11.099999999999962,3.24
264,41.0,0.002874000000019805,-5.100000000000001,-0.7585678194319849
265,500.0,0.03464699999994991,-50.10000000000044,-0.00013299175042713607
266,77.0,0.006020000000034997,-8.699999999999989,-0.9
267,349.0,0.02494899999987865,-35.900000000000226,-0.6107650231614897
268,97.0,0.0062709999999697175,-10.699999999999982,-0.8636394688461042
269,64.0,0.004204000000072483,-7.399999999999993,-0.7694336084091116
270,88.0,0.005648999999948501,-9.799999999999985,-0.9
271,412.0,0.027091000000154963,-42.200000000000315,-0.6314976375540876
272,73.0,0.004740999999967244,-8.29999999999999,-0.7355466328234156
273,135.0,0.008888000000069951,-14.499999999999968,-0.7735614355633639
274,237.0,0.02038900000002286,-19.700000000000067,2.608770351457334
275,47.0,0.003973000000087268,-5.699999999999999,-0.8019425415993844
276,199.0,0.013136000000031345,-15.900000000000013,2.637565888699327
277,114.0,0.007787999999891326,-12.399999999999975,-0.7117908794436851
278,18.0,0.0012759999999616412,-2.8000000000000007,-0.5804339717993746
279,65.0,0.004183000000011816,-7.499999999999993,-0.7347064455611176
280,101.0,0.006941999999980908,-6.09999999999998,2.5467434437981504
281,175.0,0.011554000000160158,-13.499999999999979,2.292069099418335
282,122.0,0.008152999999992971,-13.199999999999973,-0.6664892719767262
283,16.0,0.001125000000001819,-2.6000000000000005,-0.7096501573343262
284,133.0,0.009195999999974447,-14.299999999999969,-0.7878303
285,184.0,0.01167000000009466,-14.399999999999991,2.0628621894765016
286,122.0,0.007741000000123677,-13.199999999999973,-0.6810937524551097
287,500.0,0.031835999999884734,-50.10000000000044,1.5229949359985007e-07
288,163.0,0.010427000000163389,-12.299999999999962,2.4834362874128337
289,52.0,0.003541999999924883,-6.1999999999999975,-0.6522960615128073
290,275.0,0.024779999999964275,-23.50000000000012,3.03408507228343
291,61.0,0.004175000000032014,-7.099999999999994,-0.6585580435579057
292,426.0,0.02838700000006611,-38.600000000000335,2.3686361725645417
293,500.0,0.03294000000005326,-50.10000000000044,2.5206514098208288e-08
294,95.0,0.007668999999850712,-10.499999999999982,-0.5927022392021151
295,172.0,0.015611000000035347,-18.199999999999974,-0.981
296,278.0,0.01866899999981797,-28.800000000000125,-0.5679458377942876
297,62.0,0.003997000000026674,-7.199999999999994,-0.7360667318948262
298,194.0,0.013486000000057174,-15.400000000000006,3.001623965676865
299,187.0,0.012760999999954947,-19.699999999999996,-0.8591758285648172
300,84.0,0.005720999999994092,-4.399999999999986,3.1008238788685842
301,155.0,0.0105829999999969,-16.49999999999996,-0.8251455016742097
302,220.0,0.015294000000039887,-18.000000000000043,3.1910902180733136
303,98.0,0.006628999999975349,-10.799999999999981,-0.8082083456814373
304,108.0,0.007348000000092725,-6.799999999999978,3.3229873307354794
305,38.0,0.0029600000000300497,0.19999999999999796,2.990688597661931
306,170.0,0.01175399999988258,-12.999999999999972,2.691619737895738
307,88.0,0.006097999999838066,-4.799999999999985,2.422457764106164
308,44.0,0.003047999999807871,-5.4,-0.9807
309,55.0,0.003777000000127373,-6.4999999999999964,-0.980227344944913
310,159.0,0.012113999999883163,-11.89999999999996,2.4932565360953647
311,309.0,0.023470999999972264,-31.90000000000017,-0.6827110374887865
312,181.0,0.01212500000019645,-14.099999999999987,3.236266221302493
313,272.0,0.01975599999991573,-23.200000000000117,2.426275586785183
314,500.0,0.040265999999974156,-50.10000000000044,1.529009496159528e-05
315,500.0,0.03550900000004731,-50.10000000000044,-2.137121416073695e-05
316,227.0,0.014494999999897118,-23.700000000000053,-0.6580443191732843
317,140.0,0.00937900000008085,-14.999999999999966,-0.817638559792617
