params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",13.61411899999996,100,-0.05856745025478376,-0.06434513006654569,-0.12045454545454543,0.07083333333333332,0.035447657910143746
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",11.059876000000031,100,-0.06291380519297263,-0.06746031746031746,-0.12045454545454543,0.041379310344827565,0.0336773902850332
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",8.887635000000046,100,-0.058836157453425006,-0.06419145690312739,-0.12571428571428572,0.024242424242424235,0.03049326025464718
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",10.573176000000103,100,-0.06218264754137344,-0.06554378531073447,-0.1272727272727273,0.03666666666666664,0.03352500581680152
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",8.437744000000066,100,-0.04989732651420058,-0.05089644291451519,-0.118,0.041379310344827565,0.03699954050291796
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",7.887588000000051,100,-0.05651080628493756,-0.05393258426966291,-0.12903225806451615,0.08636363636363634,0.04332803424952028
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",7.535462999999936,100,-0.07250794908390805,-0.07943779934301261,-0.1310344827586207,0.028124999999999997,0.04172494734646383
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",4.305498999999941,100,-0.14166015283065653,-0.13461538461538464,-0.27999999999999997,0.04642857142857141,0.05346342419377281
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.95}",3.1954000000000633,100,-0.14128503523495162,-0.13913043478260873,-0.27999999999999997,0.08636363636363634,0.04940028737323528
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.99}",3.134196000000088,100,-0.1750490340008829,-0.17500000000000002,-0.27999999999999997,-0.0359375,0.037942910491864656
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",11.715767000000028,100,-0.05864416975689311,-0.06480621868552902,-0.12903225806451615,0.041379310344827565,0.02794969144429909
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",10.064039999999977,100,-0.050642308669870205,-0.05683732269503544,-0.11384615384615383,0.05185185185185183,0.03174710587260537
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",8.503370000000018,100,-0.061691922469504765,-0.07007139812446717,-0.12195121951219512,0.024242424242424235,0.03238336316658241
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",9.59347200000002,100,-0.05504449439320237,-0.05836597938144329,-0.11999999999999997,0.057692307692307675,0.037478692698900216
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",9.088023000000021,100,-0.059926995928940324,-0.059202970297029686,-0.12195121951219512,0.12777777777777777,0.04535898712688804
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",8.159698999999932,100,-0.05563942068521359,-0.058585858585858575,-0.1230769230769231,0.041379310344827565,0.039269438913597646
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",7.629281999999989,100,-0.061888251916690236,-0.06525174172232995,-0.13333333333333336,0.06399999999999999,0.03768863795335117
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",4.352520999999911,100,-0.10520504867243495,-0.11295567522783759,-0.19,0.11578947368421051,0.04760607910775481
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.95}",3.1795550000000503,100,-0.16746278907506165,-0.16000000000000003,-0.27999999999999997,0.041379310344827565,0.05749155867374899
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.99}",3.2376769999999624,100,-0.16564062318614442,-0.16000000000000003,-0.27999999999999997,-0.05940594059405939,0.04053308482596225
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",9.471304999999916,100,-0.06044828321610656,-0.06833929636255216,-0.11999999999999997,0.032258064516129004,0.03344937302443395
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",10.96944899999994,100,-0.0665943680224665,-0.07152777777777777,-0.118,0.017142857142857133,0.024462764284015837
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",8.551205000000095,100,-0.05863803343275305,-0.06758437500000002,-0.11199999999999997,0.03666666666666664,0.03549282768393121
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",8.689577999999983,100,-0.056713313730448606,-0.06237265302685863,-0.12093023255813952,0.08636363636363634,0.04129367128318035
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",9.266772999999944,100,-0.06176177906354681,-0.06720000000000001,-0.1272727272727273,0.041379310344827565,0.0363075636350522
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",8.164474999999925,100,-0.04555250298442646,-0.04675324675324673,-0.12571428571428572,0.12777777777777777,0.04365730703918879
