params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",11.28240100000005,100,-0.0798773420582824,-0.08212733594089526,-0.11525423728813558,-0.0045454545454545695,0.019555358611685763
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",10.529178000000002,100,-0.08301143361487359,-0.08493675442204852,-0.1230769230769231,-0.027586206896551748,0.018562443433982282
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",9.236947999999984,100,-0.08083097748831859,-0.0824264705882353,-0.12368421052631581,-0.01923076923076925,0.019385871096998714
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",9.562059999999974,100,-0.07914990237670061,-0.078125,-0.13000000000000003,-0.01923076923076925,0.02064938076982997
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",8.595595000000003,100,-0.07590701932157644,-0.0752941176470588,-0.12195121951219512,-0.027586206896551748,0.016967768584341555
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",8.033889000000045,100,-0.08073228705761958,-0.07867965367965368,-0.13214285714285717,-0.01923076923076925,0.023597151732416742
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",7.998982000000069,100,-0.07517315724295884,-0.07692028985507243,-0.118,-2.114710523095536e-17,0.021074827718279537
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",3.9330210000000534,100,-0.13417930709007475,-0.13214285714285717,-0.25,-0.027586206896551748,0.032977140022222746
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.95}",3.157326000000012,100,-0.14211866598181383,-0.13605769230769232,-0.27999999999999997,-0.025000000000000022,0.04528550870082879
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.99}",2.9222540000000663,100,-0.15688000570984773,-0.16000000000000003,-0.25,-0.0045454545454545695,0.03702390633588156
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",10.729906000000028,100,-0.08072155867832727,-0.08189520624303233,-0.1272727272727273,-2.114710523095536e-17,0.022517660562109718
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",9.775125000000003,100,-0.08447392152255036,-0.08499923465482931,-0.13333333333333336,-0.008695652173913071,0.017795999989696137
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",10.824003999999945,100,-0.0861795491653494,-0.08658023683135974,-0.11999999999999997,-0.03636363636363637,0.018064076760936614
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",9.264336999999955,100,-0.07792519969639,-0.07823775773195876,-0.1272727272727273,-0.03636363636363637,0.01372745724357053
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",9.209559000000013,100,-0.07558304906398249,-0.0782330827067669,-0.11730769230769228,-0.01923076923076925,0.021947400036726048
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",8.424664000000007,100,-0.07686755330224768,-0.07834821428571428,-0.118,-0.01923076923076925,0.016709206787228217
