steps,time,reward,delta,converged
1,0.0011700000000018917,1.3333333333333333,0.6666666666666666,False
2,0.0011110000000016385,2.4118518518518517,0.31111111111111106,False
3,0.001120000000000232,3.106159670781892,0.13187654320987646,False
4,0.0011219999999951824,3.510543339734796,0.06351851851851849,False
5,0.001097000000001458,3.746328912413757,0.031106508459076337,False
6,0.0012459999999947513,3.885127725882483,0.014367470311436231,False
7,0.0011560000000017112,3.9670036364555323,0.007150732081301944,False
8,0.0010979999999989332,4.015837826012136,0.0038628741448169107,False
9,0.0010809999999992215,4.045353739464418,0.0022515782363788026,False
10,0.0010989999999964084,4.063422873532815,0.0012803247733507161,False
11,0.001087999999995759,4.074596049789249,0.0007393538310753785,False
12,0.001087999999995759,4.081553755999999,0.00043528145780557213,False
13,0.001084000000005858,4.085908742810651,0.00024950968318078644,False
14,0.001100000000000989,4.088637269470343,0.00017297950356047432,False
15,0.001606999999999914,4.0903554085414395,0.00011572185502325234,False
16,0.001497999999998001,4.091434925013232,7.531861003928038e-05,False
17,0.001079000000004271,4.092110663677795,4.851028773916093e-05,False
18,0.0010690000000010969,4.092531470145156,3.038578254062124e-05,False
19,0.001097000000001458,4.0927919410887945,1.8816356457005464e-05,False
20,0.001066999999999041,4.092952106433166,1.1610042000719314e-05,False
21,0.0010849999999962279,4.093049915456602,7.0351288127463475e-06,True
