steps,time,reward,delta,converged
1,0.0012129999999999086,-6.172349906830555,0.5800004286694102,False
2,0.001084000000005858,-8.175427089509423,0.18554778611544187,False
3,0.0011679999999998358,-8.89886072591475,0.04922493689812611,False
4,0.0011079999999950019,-9.178801966943087,0.01564724416760019,False
5,0.0011030000000005202,-9.289373788066992,0.006293224165523553,False
6,0.0017670000000009622,-9.333088437969135,0.002999147821089232,False
7,0.0011510000000001241,-9.350540578654204,0.0013881929074970323,False
8,0.0011240000000043437,-9.357577212554059,0.0006225967999892168,False
9,0.0012479999999968072,-9.36044760997545,0.0002757210809632704,False
10,0.0012249999999980332,-9.361618659823193,0.00012096948618156578,False
11,0.0014010000000013179,-9.36209539909218,5.270626982226134e-05,False
12,0.0010839999999987526,-9.362288677462699,2.2843958028651024e-05,False
13,0.0010750000000001592,-9.36236665946161,9.86102677488776e-06,True
