episode,length,time,reward,delta
0,22.0,0.0015989999999987958,0.0,-0.00012389032613596836
1,25.0,0.0017009999999686443,0.0,-2.3279929243777268e-05
2,147.0,0.013933000000008633,0.0,0.00015630008697969304
3,19.0,0.0016029999999886968,0.0,-0.00021975516694178003
4,39.0,0.002762000000018361,0.0,0.0004961345308298926
5,15.0,0.0010529999999562278,0.0,0.0004963940563290308
6,30.0,0.0020150000000285218,0.0,0.000255777338393587
7,24.0,0.0016430000000013933,0.0,0.0008318868832791806
8,28.0,0.0018680000000017571,0.0,7.48899306614629e-05
9,59.0,0.004255000000000564,0.0,0.00016314669428516514
10,21.0,0.0013940000000047803,0.0,-0.0001535160005844534
11,41.0,0.0027180000000157634,0.0,-8.445762013650359e-05
12,30.0,0.0020170000000234722,0.0,-7.19242676124912e-05
13,15.0,0.001029000000016822,0.0,6.969273021602284e-05
14,16.0,0.0011220000000093933,0.0,-8.447758377984999e-05
15,19.0,0.0016479999999887696,0.0,-3.4848148152256063e-05
16,22.0,0.0015260000000125729,0.0,0.00019648467585133803
17,20.0,0.0014550000000213004,0.0,3.4846365108011476e-05
18,61.0,0.003929000000027827,0.0,0.00010327196833529904
19,35.0,0.002345999999988635,0.0,0.0005955809648721458
20,33.0,0.002126000000032491,0.0,-4.223879188992505e-05
21,49.0,0.00324599999999009,0.0,0.00015906296994562736
22,24.0,0.0018719999999916581,0.0,7.930125067016891e-05
23,32.0,0.0021570000000110667,0.0,-1.6937606514460905e-05
24,23.0,0.0018129999999700885,0.0,0.0005833371110290556
25,6.0,0.0006850000000326872,0.0,2.4225961737539005e-05
26,7.0,0.0006099999999946704,0.0,1.2112980868769448e-05
27,10.0,0.0011380000000258406,0.0,1.7423182554005792e-05
28,17.0,0.001921999999979107,0.0,2.8296864714865712e-05
29,11.0,0.0016730000000393375,0.0,6.0564904343847785e-06
30,10.0,0.0012530000000197106,0.0,7.953148497281363e-05
31,17.0,0.001790000000028158,0.0,0.00020093562215871166
32,27.0,0.0018870000000106302,0.0,0.0001278886691967935
33,14.0,0.0010029999999687789,0.0,4.005504644379488e-05
34,20.0,0.0013000000000147338,0.0,9.650655320746595e-05
35,17.0,0.0012080000000196378,0.0,-8.468803257230453e-06
36,30.0,0.001943000000039774,0.0,3.976574248640687e-05
37,17.0,0.001236000000005788,0.0,0.0001642834928981885
38,12.0,0.0009619999999586071,0.0,3.028245217192335e-06
39,21.0,0.00141999999999598,0.0,3.41682845500323e-05
40,23.0,0.001610000000027867,0.0,7.732262697921139e-05
41,15.0,0.001021999999977652,0.0,4.052654249906372e-05
42,11.0,0.0008109999999987849,0.0,3.866131348960564e-05
43,136.0,0.009230000000002292,0.0,6.760909215141415e-05
44,16.0,0.0012509999999679167,0.0,0.0001331415683076617
45,53.0,0.0038519999999948595,0.0,0.00010455246681555848
46,10.0,0.0008520000000089567,0.0,-0.00013838879870089332
47,23.0,0.0017150000000469845,0.0,3.380454607570702e-05
48,20.0,0.0014409999999998035,0.0,0.00012408807211126635
49,9.0,0.0006539999999972679,0.0,9.543622992265585e-05
50,37.0,0.0025469999999927495,0.0,-3.212033038192642e-05
51,14.0,0.000956000000030599,0.0,0.00010021403653024394
52,24.0,0.0015520000000037726,0.0,5.010701826512192e-05
53,14.0,0.0010029999999687789,0.0,0.0004377278749403791
54,17.0,0.0011180000000194923,0.0,0.00011030260337113675
55,16.0,0.0010749999999575266,0.0,0.0001513361457995409
56,9.0,0.0006730000000061409,0.0,0.0001384212555015895
57,4.0,0.00036800000003722744,0.0,2.5053509132561013e-05
58,18.0,0.0011859999999614956,0.0,1.252675456628056e-05
59,28.0,0.0018310000000383297,0.0,0.00022687513520802747
60,18.0,0.0012089999999602696,0.0,0.0002392453723363047
61,23.0,0.001469999999983429,0.0,2.9318379345309362e-05
62,19.0,0.0012389999999982138,0.0,0.00014344314135433832
63,20.0,0.001373999999998432,0.0,0.00011962268616815235
64,11.0,0.0007689999999911379,0.0,5.981134308407623e-05
65,12.0,0.0008359999999925094,0.0,0.00010351915274841466
66,27.0,0.0017249999999648935,0.0,8.258467645198256e-05
67,64.0,0.004021000000022923,0.0,-1.1639964621888688e-05
68,56.0,0.0037839999999960128,0.0,0.00011990413149110934
69,27.0,0.0017270000000166874,0.0,-1.6060165190963263e-05
70,28.0,0.001985999999988053,0.0,-8.030082595481577e-06
71,13.0,0.000896999999952186,0.0,5.995206574555467e-05
72,42.0,0.002586000000007971,0.0,0.00024061759003718712
73,20.0,0.00129799999996294,0.0,-6.735787368051637e-05
74,9.0,0.0007099999999695683,0.0,2.9976032872777334e-05
75,25.0,0.001580999999987398,0.0,1.4659189672654627e-05
76,24.0,0.0015089999999986503,0.0,0.00011127166500828078
77,22.0,0.0014150000000086038,0.0,0.0004967544771883204
78,36.0,0.0024179999999773827,0.0,9.813472879644078e-05
79,56.0,0.0035310000000094988,0.0,0.0001879431649168535
80,25.0,0.0016449999999963438,0.0,0.0001172426451792099
81,29.0,0.001943000000039774,0.0,0.0001268964788941941
82,13.0,0.0008929999999622851,0.0,0.00015620306678636078
83,19.0,0.0012359999999489446,0.0,-3.367893684025813e-05
84,16.0,0.001063999999985299,0.0,7.329594836327368e-06
85,13.0,0.0008859999999799584,0.0,0.00014195671549122654
86,26.0,0.0016390000000114924,0.0,0.00011436656079733389
87,9.0,0.0005930000000375912,0.0,5.7183280398667e-05
88,7.0,0.0004729999999995016,0.0,9.76757951629165e-05
89,11.0,0.0007519999999772153,0.0,9.112253406396971e-05
90,15.0,0.0010420000000408436,0.0,0.00011462575021862771
91,27.0,0.0017399999999838656,0.0,0.0008393329675527605
92,11.0,0.0007579999999620668,0.0,0.00013762792114096166
93,25.0,0.0017430000000331347,0.0,5.3019261305003854e-05
94,8.0,0.0006039999999529755,0.0,-0.00010645895442215755
95,19.0,0.0014439999999922293,0.0,0.0002779682987243821
96,4.0,0.00031799999999293505,0.0,5.936592091839224e-05
97,36.0,0.0024700000000166256,2.0,1.999845085227258
98,28.0,0.0018699999999967076,0.0,0.00012199589111891278
99,33.0,0.002196000000026288,0.0,0.0001217887557468445
100,7.0,0.00048099999997930354,0.0,5.919042334737244e-05
101,14.0,0.0009840000000167493,0.0,2.9595211673686165e-05
102,38.0,0.00252800000004072,0.0,9.379884177779534e-05
103,14.0,0.0009609999999611318,0.0,0.00011915406203156674
104,7.0,0.0005280000000311702,0.0,7.207379675831284e-05
105,11.0,0.0007780000000252585,0.0,0.00016730106793890875
106,14.0,0.0011000000000080945,0.0,3.603689837915647e-05
107,6.0,0.00047200000000202635,0.0,6.099794555945639e-05
108,20.0,0.0013959999999997308,0.0,0.00011594246277013
109,8.0,0.0006230000000186919,0.0,3.0498972779728194e-05
110,17.0,0.001148000000000593,0.0,0.00014012954751399032
111,22.0,0.0014479999999821302,0.0,8.365053396945437e-05
112,14.0,0.0010760000000118453,0.0,0.0001997905558204456
113,20.0,0.0013579999999819847,0.0,9.807341244650648e-05
114,24.0,0.0016019999999912216,0.0,4.9036706223253295e-05
115,19.0,0.0012570000000096115,0.0,5.928836112161493e-05
116,29.0,0.0019149999999967804,0.0,4.182526698472719e-05
117,7.0,0.0007829999999557913,0.0,2.45183531116267e-05
118,29.0,0.0031210000000214677,2.0,0.9999225426136289
119,10.0,0.0009469999999964784,0.0,2.0912633492363593e-05
120,15.0,0.0013480000000072323,0.0,0.0001451871549801384
121,12.0,0.0010959999999613501,0.0,-5.81998231094429e-06
122,9.0,0.0007150000000137879,0.0,7.00647737569951e-05
123,27.0,0.0023489999999810607,0.0,2.369179738939903e-05
124,7.0,0.0004950000000008004,0.0,9.435805293022889e-05
125,34.0,0.0025210000000015498,0.0,0.0003831750284064065
126,20.0,0.0013579999999819847,0.0,0.00019158751420320324
