steps,time,reward,delta,converged
1,0.0011410000000040554,1.3333333333333333,0.6666666666666666,False
2,0.0010869999999982838,2.5896296296296293,0.3555555555555555,False
3,0.0011259999999992942,3.543888065843621,0.1833086419753086,False
4,0.001100000000000989,4.203094972107911,0.10152910836762685,False
5,0.0011100000000041632,4.658382350853021,0.06042676909007777,False
6,0.001132000000005462,4.9762248419911055,0.03416355753899303,False
7,0.0010990000000035138,5.1993959204860785,0.019117599133248675,False
8,0.0011559999999946058,5.357989950919062,0.012532020007593764,False
9,0.001069999999998572,5.4722294201263075,0.008406996287458862,False
10,0.0010919999999998709,5.555521695791537,0.005817620591120634,False
11,0.0010909999999952902,5.61679673263857,0.003939812866940506,False
12,0.0010789999999971656,5.662190436407212,0.0027701816192591128,False
13,0.0010839999999987526,5.695987571486429,0.0019388085112664113,False
14,0.0013339999999999463,5.721185771324398,0.0013399138020106331,False
15,0.0011289999999988254,5.740027252947048,0.0010625626998907768,False
16,0.0010940000000019268,5.754104709455351,0.0008260086242937639,False
17,0.001097000000001458,5.764600400505075,0.000630958627932509,False
18,0.0011599999999987176,5.772399806602526,0.0004752152090877308,False
19,0.0010939999999948213,5.778169494184685,0.00035055714087553827,False
20,0.0010910000000023956,5.782416237129696,0.0002568103540034946,False
21,0.0010919999999998709,5.785525158223099,0.00018750330141683105,False
22,0.0010830000000012774,5.787788364536635,0.00013496865450559475,False
23,0.0011080000000021073,5.789426976044664,9.727075789526217e-05,False
24,0.0010830000000012774,5.790607359304657,6.980078899169757e-05,False
25,0.0011280000000013501,5.791452666385014,4.9552912112723474e-05,False
26,0.001100000000000989,5.7920546441522305,3.5282160973140395e-05,False
27,0.0010909999999952902,5.792481064925892,2.516872879333807e-05,False
28,0.0010869999999982838,5.7927821130028345,1.7792045335840098e-05,False
29,0.001097000000001458,5.792994974384708,1.2479127154061721e-05,False
30,0.001097000000001458,5.7931446392586015,9.350219890535234e-06,True
