steps,time,reward,delta,converged
1,0.0013359999999948968,-7.017885627653389,0.5636494397805212,False
2,0.001193999999998141,-11.388405192074636,0.272636739209164,False
3,0.0011190000000027567,-14.337632252698258,0.13913001700956437,False
4,0.0010969999999943525,-16.4145658648973,0.0699227284944304,False
5,0.001252000000000919,-17.898294763056033,0.04885995975735408,False
6,0.0011110000000016385,-18.954514722671465,0.03585003327405151,False
7,0.0011049999999954707,-19.70844149549305,0.02828639446293907,False
8,0.0010979999999989332,-20.25097971702543,0.021937925917893064,False
9,0.0013679999999993697,-20.642672938441475,0.016833235169407657,False
10,0.002012999999998044,-20.926435281833694,0.012862695644771827,False
11,0.0015889999999956217,-21.13230487849499,0.009792403277371242,False
12,0.0015649999999993724,-21.281252343056245,0.007430560591353108,False
13,0.0020119999999934635,-21.388856070717225,0.00562387219413063,False
14,0.0012460000000018567,-21.466441675138572,0.004248016248305619,False
15,0.0011489999999980682,-21.52226981394873,0.003203235629041068,False
16,0.0011729999999943175,-21.56238456237801,0.0024111827438100253,False
17,0.001089999999997815,-21.59117786680529,0.0018108756325510011,False
18,0.0015679999999989036,-21.61183037280752,0.0013559693809058748,False
19,0.0011510000000001241,-21.62660193596878,0.001011796791689279,False
20,0.001117999999998176,-21.63706552921925,0.00075202884444725,False
21,0.0011100000000041632,-21.6444895179066,0.0005551212778651671,False
22,0.0011100000000041632,-21.64975700921111,0.0004061228947317974,False
23,0.001117999999998176,-21.653491374755397,0.0002947587912676686,False
24,0.0011089999999995825,-21.656114083654437,0.00021203265698344076,False
25,0.0011849999999995475,-21.65793091169736,0.00014755843673863733,False
26,0.001100000000000989,-21.659190236467726,0.00010121876409469044,False
27,0.0011080000000021073,-21.660063580236404,6.889658538922205e-05,False
28,0.0011340000000004125,-21.660669520419745,4.66488638642959e-05,False
29,0.001122999999999763,-21.661087725592676,3.144754544420758e-05,False
30,0.0011749999999963734,-21.66137739336592,2.111542799021482e-05,False
31,0.0011099999999970578,-21.661578338852575,1.4124736157583584e-05,False
32,0.0011180000000052814,-21.6617178990216,9.414992933387545e-06,True
